title	id	score
vērienīgā gājienā pieprasa kažokzvēru audzēšanas aizliegumu latvijā	51681647	0.325
uzbrukumā hāgā sadurtie ir pusaudži, aizturēts uzbrucējs	51681539	0.315625
levita solidaritātes sarunās rosina izskaust terminu 'cittautieši'	51681411	0.3142857142857143
gripas intensitāte zema, bet saslimušo skaits pieaug	51681473	0.31333333333333335
no 'baltic restaurants latvia' ēdināšanu siguldas skolās pārņem sia 'aniva'	51681557	0.31176470588235294
naktī un svētdien turpinās snigt, dažviet jau pāri 10 centimetriem	51681699	0.3078947368421053
uzbrucējs londonā bijis iepriekš notiesāts par terorismu	51681331	0.3038461538461538
ķīna aizliedz radīt 'viltus ziņas'	51681749	0.3025
sveču gaismā pie brīvības pieminekļa piemin rumbulas traģēdijas upurus	51682113	0.3
elektrisko skrejriteņu bums: izbeidz latvijā pirmo kriminālprocesu par cilvēka notriekšanu	51671721	0.3
naktī rīgas dome pieņem 'pielabotos' noteikumus atkritumu apsaimniekošanas jomā	51681269	0.29583333333333334
no pārpildītajām nometnēm uz grieķijas kontinentālo daļu pārvieto simtiem imigrantu	51682015	0.29545454545454547
bergmanis grib panākt peintbola kā oficiāla sporta veida atzīšanu	51681795	0.29523809523809524
daļai austrijas gaisa spēku apturēti lidojumi rezerves daļu trūkuma dēļ	51682111	0.292
būtiski pieaudzis par uzturlīdzekļu nemaksāšanu notiesāto personu skaits	51682107	0.2916666666666667
karstvīns, punšs un citi sildoši dzērieni: 14 receptes svētku noskaņai un labsajūtai	45368916	0.28888888888888886
kāzu rituāls, nēģu ķeršana un maija dievkalpojumi papildina kultūras mantojuma sarakstu	51682027	0.28695652173913044
opozīcijai neizdodas no amata gāzt burovu	51681257	0.2818181818181818
rasols smaržo, svētki būs! 16 recepšu versijas par leģendāro salātu tēmu	45391872	0.2785714285714286
asv nelegālos imigrantus ķer viltus universitātē	51679271	0.275
osinovskis: jurašs piedāvāja sadarboties apmaiņā pret atbrīvošanu no kriminālatbildības	51681061	0.275
ēd kotletes un tievē! 12 gaļas bumbiņu versijas, kas nekaitēs figūrai	49163915	0.2689655172413793
vienkārši saldie krēmi bez eksotiskām sastāvdaļām: 30 kārdinošas receptes	49266993	0.26
'marodierisma pazīmes': ukraina aprēķinājusi kaitējumu no krievijas atgūtajiem kuģiem	51678993	0.2571428571428571
viltotais zaķis – kotlešu alternatīva bez piedūmotas virtuves: 14 receptes vakariņām	49293659	0.2532258064516129
gaismas parka atklāšana, eglīšu iedegšana un lustīgi tirdziņi: pasākumi pirmajā adventē	51679733	0.25
17 pašgatavotas delikateses, kas svētkos iepriecinās tos, kam saldumi neiet pie dūšas	49561133	0.2453125
kefīrs, jogurts, paniņas: 13 spirdzinoši skābpiena kokteiļi atslodzei pēc svētkiem	49607399	0.23787878787878788
